Modelo,Features,R²_train,R²_test,MAE_test,RMSE_test,color,GAP_R²_vs_anterior
B0 — Media global,ninguna,0.0,-0.0006056666189782067,95.57892401201673,111.29272352158486,#BDBDBD,
B1 — Media (mes × hora × día_semana),"mes, hora, día_semana",0.8868649397558247,0.20138573703600138,78.53693943114556,99.42688252791156,#9E9E9E,0.202
B2 — LR (temperatura),Temperatura,0.0026758177074930334,0.020659380885081347,93.157602395767,110.10376635493,#90CAF9,-0.1807
B3 — LR (temp + tiempo cíclico),temp + hora/dow (sin/cos),0.5729172640692604,0.5342459158847745,61.396061406203295,75.9300397718971,#42A5F5,0.5136
B4 — LR (temp + tiempo + WiFi)  ★,temp + tiempo + Ocupacion_Simulada,0.7959837026411014,0.8248363792005606,36.3082874686715,46.56474707952917,#FF8F00,0.2906
B5 — XGBoost (temp + tiempo + WiFi),igual que B4 pero no-lineal,0.9394041299819946,0.9185280799865723,20.470598220825195,31.7569851137608,#F4511E,0.0937
B6 — XGBoost (todas las features CSV),todas las features disponibles,0.9758002161979675,0.9392518401145935,17.502676010131836,27.422171027604424,#C62828,0.0207
B7 — XGBoost Final Optimitzat,Features completes + Lags temporals + Feat. Eng.,0.991074800491333,0.9524070024490356,16.18171501159668,24.288602641191996,#6A1B9A,0.0132
